week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,occupancy_rate,refusal_rate,demand_pressure,event_donation,event_flu,event_none,event_strike
6,2,surgery,27,58,27,31,96,81,donation,1.0,0.534,2.148,True,False,False,False
6,2,general_medicine,69,90,69,21,72,81,none,1.0,0.233,1.304,False,False,True,False
6,2,ICU,14,12,12,0,87,51,none,0.857,0.0,0.857,False,False,True,False
7,2,emergency,33,127,33,94,65,77,none,1.0,0.74,3.848,False,False,True,False
7,2,surgery,37,46,37,9,89,60,none,1.0,0.196,1.243,False,False,True,False
7,2,general_medicine,62,80,62,18,84,98,donation,1.0,0.225,1.29,True,False,False,False
7,2,ICU,21,47,21,26,72,83,flu,1.0,0.553,2.238,False,True,False,False
8,2,emergency,26,240,26,214,96,75,flu,1.0,0.892,9.231,False,True,False,False
8,2,surgery,51,20,20,0,91,61,strike,0.392,0.0,0.392,False,False,False,True
8,2,general_medicine,58,105,58,47,71,88,none,1.0,0.448,1.81,False,False,True,False
8,2,ICU,12,10,10,0,76,98,none,0.833,0.0,0.833,False,False,True,False
9,3,emergency,28,113,28,85,82,86,none,1.0,0.752,4.036,False,False,True,False
9,3,surgery,22,41,22,19,61,93,none,1.0,0.463,1.864,False,False,True,False
9,3,general_medicine,38,78,38,40,63,60,none,1.0,0.513,2.053,False,False,True,False
9,3,ICU,11,20,11,9,97,73,none,1.0,0.45,1.818,False,False,True,False
10,3,emergency,17,130,17,113,81,60,none,1.0,0.869,7.647,False,False,True,False
10,3,surgery,38,57,38,19,68,55,none,1.0,0.333,1.5,False,False,True,False
10,3,general_medicine,35,64,35,29,95,68,none,1.0,0.453,1.829,False,False,True,False
10,3,ICU,13,8,8,0,91,56,none,0.615,0.0,0.615,False,False,True,False
11,3,emergency,16,97,16,81,98,72,donation,1.0,0.835,6.062,True,False,False,False
11,3,surgery,48,48,48,0,82,80,none,1.0,0.0,1.0,False,False,True,False
11,3,general_medicine,35,50,35,15,75,75,none,1.0,0.3,1.429,False,False,True,False
11,3,ICU,14,17,14,3,61,50,none,1.0,0.176,1.214,False,False,True,False
12,3,emergency,28,347,28,319,68,83,flu,1.0,0.919,12.393,False,True,False,False
12,3,surgery,38,24,24,0,79,73,none,0.632,0.0,0.632,False,False,True,False
12,3,general_medicine,33,69,33,36,70,98,none,1.0,0.522,2.091,False,False,True,False
12,3,ICU,16,13,13,0,79,94,donation,0.812,0.0,0.812,True,False,False,False
13,4,emergency,23,142,23,119,77,95,none,1.0,0.838,6.174,False,False,True,False
13,4,surgery,41,54,41,13,75,90,none,1.0,0.241,1.317,False,False,True,False
13,4,general_medicine,33,72,33,39,73,70,none,1.0,0.542,2.182,False,False,True,False
13,4,ICU,17,12,12,0,66,52,none,0.706,0.0,0.706,False,False,True,False
14,4,emergency,15,97,15,82,71,71,none,1.0,0.845,6.467,False,False,True,False
14,4,surgery,33,49,33,16,97,87,none,1.0,0.327,1.485,False,False,True,False
14,4,general_medicine,51,47,47,0,86,76,none,0.922,0.0,0.922,False,False,True,False
14,4,ICU,10,16,10,6,92,54,none,1.0,0.375,1.6,False,False,True,False
15,4,emergency,17,53,17,36,94,98,none,1.0,0.679,3.118,False,False,True,False
15,4,surgery,31,124,31,93,65,76,flu,1.0,0.75,4.0,False,True,False,False
15,4,general_medicine,53,179,53,126,90,76,flu,1.0,0.704,3.377,False,True,False,False
15,4,ICU,14,11,11,0,92,52,none,0.786,0.0,0.786,False,False,True,False
16,4,emergency,23,144,23,121,62,89,none,1.0,0.84,6.261,False,False,True,False
16,4,surgery,37,28,28,0,82,31,strike,0.757,0.0,0.757,False,False,False,True
16,4,general_medicine,39,41,39,2,85,66,none,1.0,0.049,1.051,False,False,True,False
16,4,ICU,18,15,15,0,98,78,none,0.833,0.0,0.833,False,False,True,False
17,5,emergency,21,133,21,112,84,73,none,1.0,0.842,6.333,False,False,True,False
17,5,surgery,40,23,23,0,95,94,none,0.575,0.0,0.575,False,False,True,False
17,5,general_medicine,33,76,33,43,75,63,none,1.0,0.566,2.303,False,False,True,False
17,5,ICU,14,17,14,3,87,83,none,1.0,0.176,1.214,False,False,True,False
18,5,emergency,18,100,18,82,81,80,donation,1.0,0.82,5.556,True,False,False,False
18,5,surgery,43,36,36,0,81,98,none,0.837,0.0,0.837,False,False,True,False
18,5,general_medicine,31,25,25,0,96,62,strike,0.806,0.0,0.806,False,False,False,True
18,5,ICU,12,9,9,0,63,55,none,0.75,0.0,0.75,False,False,True,False
19,5,emergency,16,70,16,54,99,45,strike,1.0,0.771,4.375,False,False,False,True
19,5,surgery,42,44,42,2,78,66,none,1.0,0.045,1.048,False,False,True,False
19,5,general_medicine,43,60,43,17,85,86,none,1.0,0.283,1.395,False,False,True,False
19,5,ICU,14,17,14,3,68,61,none,1.0,0.176,1.214,False,False,True,False
20,5,emergency,21,45,21,24,93,81,none,1.0,0.533,2.143,False,False,True,False
20,5,surgery,31,39,31,8,99,94,none,1.0,0.205,1.258,False,False,True,False
20,5,general_medicine,40,70,40,30,64,71,none,1.0,0.429,1.75,False,False,True,False
20,5,ICU,10,14,10,4,85,65,none,1.0,0.286,1.4,False,False,True,False
21,6,emergency,18,95,18,77,88,63,none,1.0,0.811,5.278,False,False,True,False
21,6,surgery,30,44,30,14,64,67,donation,1.0,0.318,1.467,True,False,False,False
21,6,general_medicine,45,70,45,25,95,82,none,1.0,0.357,1.556,False,False,True,False
21,6,ICU,12,9,9,0,69,54,none,0.75,0.0,0.75,False,False,True,False
22,6,emergency,16,129,16,113,69,68,none,1.0,0.876,8.062,False,False,True,False
22,6,surgery,18,21,18,3,63,65,none,1.0,0.143,1.167,False,False,True,False
22,6,general_medicine,46,36,36,0,87,88,donation,0.783,0.0,0.783,True,False,False,False
22,6,ICU,9,6,6,0,92,82,none,0.667,0.0,0.667,False,False,True,False
23,6,emergency,22,54,22,32,62,50,none,1.0,0.593,2.455,False,False,True,False
23,6,surgery,26,43,26,17,72,61,none,1.0,0.395,1.654,False,False,True,False
23,6,general_medicine,27,81,27,54,94,77,donation,1.0,0.667,3.0,True,False,False,False
23,6,ICU,17,12,12,0,85,83,none,0.706,0.0,0.706,False,False,True,False
24,6,emergency,18,105,18,87,70,78,none,1.0,0.829,5.833,False,False,True,False
24,6,surgery,39,21,21,0,95,39,strike,0.538,0.0,0.538,False,False,False,True
24,6,general_medicine,47,66,47,19,94,97,none,1.0,0.288,1.404,False,False,True,False
24,6,ICU,9,9,9,0,91,73,none,1.0,0.0,1.0,False,False,True,False
25,7,emergency,15,48,15,33,72,72,none,1.0,0.688,3.2,False,False,True,False
25,7,surgery,22,39,22,17,76,98,none,1.0,0.436,1.773,False,False,True,False
25,7,general_medicine,36,51,36,15,81,62,none,1.0,0.294,1.417,False,False,True,False
25,7,ICU,8,6,6,0,71,90,none,0.75,0.0,0.75,False,False,True,False
26,7,emergency,18,96,18,78,87,63,none,1.0,0.812,5.333,False,False,True,False
26,7,surgery,31,30,30,0,75,54,none,0.968,0.0,0.968,False,False,True,False
26,7,general_medicine,43,72,43,29,80,85,none,1.0,0.403,1.674,False,False,True,False
26,7,ICU,14,8,8,0,98,63,none,0.571,0.0,0.571,False,False,True,False
27,7,emergency,15,67,15,52,82,78,none,1.0,0.776,4.467,False,False,True,False
27,7,surgery,29,24,24,0,68,59,none,0.828,0.0,0.828,False,False,True,False
27,7,general_medicine,36,61,36,25,66,95,none,1.0,0.41,1.694,False,False,True,False
27,7,ICU,15,10,10,0,86,51,none,0.667,0.0,0.667,False,False,True,False
28,7,emergency,15,69,15,54,78,66,donation,1.0,0.783,4.6,True,False,False,False
28,7,surgery,31,28,28,0,66,74,none,0.903,0.0,0.903,False,False,True,False
28,7,general_medicine,26,36,26,10,90,68,none,1.0,0.278,1.385,False,False,True,False
28,7,ICU,12,8,8,0,86,59,none,0.667,0.0,0.667,False,False,True,False
29,8,emergency,16,92,16,76,72,99,none,1.0,0.826,5.75,False,False,True,False
29,8,surgery,36,31,31,0,87,57,none,0.861,0.0,0.861,False,False,True,False
29,8,general_medicine,30,62,30,32,60,52,none,1.0,0.516,2.067,False,False,True,False
29,8,ICU,14,15,14,1,84,82,none,1.0,0.067,1.071,False,False,True,False
30,8,emergency,16,85,16,69,91,94,none,1.0,0.812,5.312,False,False,True,False
30,8,surgery,32,15,15,0,70,66,strike,0.469,0.0,0.469,False,False,False,True
30,8,general_medicine,38,47,38,9,77,96,none,1.0,0.191,1.237,False,False,True,False
30,8,ICU,8,7,7,0,62,65,none,0.875,0.0,0.875,False,False,True,False
31,8,emergency,20,48,20,28,69,81,none,1.0,0.583,2.4,False,False,True,False
31,8,surgery,20,24,20,4,83,86,donation,1.0,0.167,1.2,True,False,False,False
31,8,general_medicine,45,60,45,15,85,57,none,1.0,0.25,1.333,False,False,True,False
31,8,ICU,8,12,8,4,87,86,none,1.0,0.333,1.5,False,False,True,False
32,8,emergency,20,89,20,69,76,58,none,1.0,0.775,4.45,False,False,True,False
32,8,surgery,31,25,25,0,87,97,none,0.806,0.0,0.806,False,False,True,False
32,8,general_medicine,34,59,34,25,65,67,none,1.0,0.424,1.735,False,False,True,False
32,8,ICU,11,15,11,4,84,51,none,1.0,0.267,1.364,False,False,True,False
33,9,emergency,28,54,28,26,92,56,donation,1.0,0.481,1.929,True,False,False,False
33,9,surgery,36,30,30,0,80,75,none,0.833,0.0,0.833,False,False,True,False
33,9,general_medicine,51,98,51,47,86,98,none,1.0,0.48,1.922,False,False,True,False
33,9,ICU,11,13,11,2,94,50,none,1.0,0.154,1.182,False,False,True,False
34,9,emergency,21,31,21,10,64,60,strike,1.0,0.323,1.476,False,False,False,True
34,9,surgery,22,42,22,20,96,86,none,1.0,0.476,1.909,False,False,True,False
34,9,general_medicine,48,56,48,8,80,63,none,1.0,0.143,1.167,False,False,True,False
34,9,ICU,10,7,7,0,72,53,none,0.7,0.0,0.7,False,False,True,False
35,9,emergency,15,81,15,66,93,77,none,1.0,0.815,5.4,False,False,True,False
35,9,surgery,26,45,26,19,93,52,none,1.0,0.422,1.731,False,False,True,False
35,9,general_medicine,41,40,40,0,64,79,none,0.976,0.0,0.976,False,False,True,False
35,9,ICU,18,5,5,0,82,64,none,0.278,0.0,0.278,False,False,True,False
36,9,emergency,28,115,28,87,70,88,none,1.0,0.757,4.107,False,False,True,False
36,9,surgery,47,53,47,6,97,99,none,1.0,0.113,1.128,False,False,True,False
36,9,general_medicine,59,54,54,0,86,83,none,0.915,0.0,0.915,False,False,True,False
36,9,ICU,15,5,5,0,83,64,none,0.333,0.0,0.333,False,False,True,False
37,10,emergency,23,110,23,87,76,54,none,1.0,0.791,4.783,False,False,True,False
37,10,surgery,31,39,31,8,69,66,none,1.0,0.205,1.258,False,False,True,False
37,10,general_medicine,58,48,48,0,93,55,none,0.828,0.0,0.828,False,False,True,False
37,10,ICU,13,20,13,7,82,65,none,1.0,0.35,1.538,False,False,True,False
38,10,emergency,22,71,22,49,67,53,none,1.0,0.69,3.227,False,False,True,False
38,10,surgery,47,48,47,1,62,81,none,1.0,0.021,1.021,False,False,True,False
38,10,general_medicine,63,78,63,15,78,70,none,1.0,0.192,1.238,False,False,True,False
38,10,ICU,20,18,18,0,81,70,none,0.9,0.0,0.9,False,False,True,False
39,10,emergency,20,67,20,47,85,95,none,1.0,0.701,3.35,False,False,True,False
39,10,surgery,36,49,36,13,86,58,none,1.0,0.265,1.361,False,False,True,False
39,10,general_medicine,48,59,48,11,89,72,strike,1.0,0.186,1.229,False,False,False,True
39,10,ICU,11,15,11,4,95,50,none,1.0,0.267,1.364,False,False,True,False
40,10,emergency,18,57,18,39,81,43,strike,1.0,0.684,3.167,False,False,False,True
40,10,surgery,46,36,36,0,83,51,none,0.783,0.0,0.783,False,False,True,False
40,10,general_medicine,47,107,47,60,66,52,none,1.0,0.561,2.277,False,False,True,False
40,10,ICU,12,15,12,3,97,84,none,1.0,0.2,1.25,False,False,True,False
41,11,emergency,27,92,27,65,69,88,none,1.0,0.707,3.407,False,False,True,False
41,11,surgery,31,49,31,18,85,93,none,1.0,0.367,1.581,False,False,True,False
41,11,general_medicine,50,70,50,20,84,53,none,1.0,0.286,1.4,False,False,True,False
41,11,ICU,21,20,20,0,77,96,none,0.952,0.0,0.952,False,False,True,False
42,11,emergency,24,99,24,75,67,89,none,1.0,0.758,4.125,False,False,True,False
42,11,surgery,45,67,45,22,65,75,none,1.0,0.328,1.489,False,False,True,False
42,11,general_medicine,67,114,67,47,65,86,none,1.0,0.412,1.701,False,False,True,False
42,11,ICU,16,12,12,0,80,55,none,0.75,0.0,0.75,False,False,True,False
43,11,emergency,21,171,21,150,70,79,none,1.0,0.877,8.143,False,False,True,False
43,11,surgery,50,33,33,0,62,89,donation,0.66,0.0,0.66,True,False,False,False
43,11,general_medicine,42,49,42,7,79,77,none,1.0,0.143,1.167,False,False,True,False
43,11,ICU,18,12,12,0,89,87,none,0.667,0.0,0.667,False,False,True,False
44,11,emergency,27,138,27,111,74,60,none,1.0,0.804,5.111,False,False,True,False
44,11,surgery,45,28,28,0,65,75,none,0.622,0.0,0.622,False,False,True,False
44,11,general_medicine,57,70,57,13,92,69,none,1.0,0.186,1.228,False,False,True,False
44,11,ICU,12,16,12,4,73,87,none,1.0,0.25,1.333,False,False,True,False
45,12,emergency,32,193,32,161,72,92,none,1.0,0.834,6.031,False,False,True,False
45,12,surgery,32,37,32,5,64,72,none,1.0,0.135,1.156,False,False,True,False
45,12,general_medicine,40,67,40,27,99,51,none,1.0,0.403,1.675,False,False,True,False
45,12,ICU,18,42,18,24,70,54,flu,1.0,0.571,2.333,False,True,False,False
46,12,emergency,36,187,36,151,64,93,none,1.0,0.807,5.194,False,False,True,False
46,12,surgery,52,39,39,0,68,83,none,0.75,0.0,0.75,False,False,True,False
46,12,general_medicine,41,29,29,0,81,58,strike,0.707,0.0,0.707,False,False,False,True
46,12,ICU,23,28,23,5,89,75,flu,1.0,0.179,1.217,False,True,False,False
47,12,emergency,22,91,22,69,63,54,strike,1.0,0.758,4.136,False,False,False,True
47,12,surgery,57,48,48,0,99,57,none,0.842,0.0,0.842,False,False,True,False
47,12,general_medicine,55,92,55,37,97,82,none,1.0,0.402,1.673,False,False,True,False
47,12,ICU,13,16,13,3,76,82,none,1.0,0.188,1.231,False,False,True,False
48,12,emergency,20,165,20,145,99,89,none,1.0,0.879,8.25,False,False,True,False
48,12,surgery,49,32,32,0,65,52,none,0.653,0.0,0.653,False,False,True,False
48,12,general_medicine,48,105,48,57,74,96,none,1.0,0.543,2.188,False,False,True,False
48,12,ICU,16,23,16,7,98,76,none,1.0,0.304,1.438,False,False,True,False
49,12,emergency,26,137,26,111,92,86,none,1.0,0.81,5.269,False,False,True,False
49,12,surgery,26,29,26,3,81,51,none,1.0,0.103,1.115,False,False,True,False
49,12,general_medicine,72,63,63,0,92,87,none,0.875,0.0,0.875,False,False,True,False
49,12,ICU,16,22,16,6,83,64,none,1.0,0.273,1.375,False,False,True,False
50,12,emergency,24,101,24,77,63,61,none,1.0,0.762,4.208,False,False,True,False
50,12,surgery,59,65,59,6,95,85,none,1.0,0.092,1.102,False,False,True,False
50,12,general_medicine,72,57,57,0,79,60,none,0.792,0.0,0.792,False,False,True,False
50,12,ICU,22,13,13,0,65,57,none,0.591,0.0,0.591,False,False,True,False
51,12,emergency,31,123,31,92,71,75,none,1.0,0.748,3.968,False,False,True,False
51,12,surgery,63,48,48,0,84,82,none,0.762,0.0,0.762,False,False,True,False
51,12,general_medicine,74,285,74,211,95,89,flu,1.0,0.74,3.851,False,True,False,False
51,12,ICU,18,15,15,0,87,80,none,0.833,0.0,0.833,False,False,True,False
52,12,emergency,26,130,26,104,88,63,none,1.0,0.8,5.0,False,False,True,False
52,12,surgery,53,39,39,0,82,50,none,0.736,0.0,0.736,False,False,True,False
52,12,general_medicine,65,225,65,160,82,40,flu,1.0,0.711,3.462,False,True,False,False
52,12,ICU,22,24,22,2,80,96,none,1.0,0.083,1.091,False,False,True,False
